,i_x,i_y,i_z,t_x,t_y,t_z,r1,r2,r3,r1dot,r2dot,r3dot,u1,u2,u3,t
72,-35657.064880921505,21176.309817169313,11069.416911576327,-7400.50854524518,-21244.207958362098,44653.281850026535,51779.54643,-25556.035141,-15360.272178,2.4783487454,1.5995837821,-0.29630933656,-1.4521740118e-05,1.8993439831e-06,6.0637203094e-06,57715.43086172345
73,-35382.81886743207,19675.14431920833,10723.620619973803,-8090.705140722552,-23118.797146504872,43589.69109592159,53714.494925,-24247.610016,-15584.059844,2.4138482484,1.6322603431,-0.27917511392,-1.4051734037e-05,1.902121451e-06,6.0467920234e-06,58517.03406813627
74,-34985.092871982204,18105.377780477927,10340.412773405667,-8764.326527874933,-24946.023481555574,42436.79932276511,55598.94285,-22916.003455,-15794.895544,2.3508487859,1.6611791853,-0.26301753558,-1.3608906155e-05,1.9257696955e-06,6.0363830578e-06,59318.6372745491
75,-34454.57494967659,16466.966487609778,9917.971173518355,-9419.99267790548,-26722.143577238745,41196.96841994004,57434.141523,-21563.9874,-15993.532286,2.2894103445,1.686640029,-0.2477993355,-1.3192127127e-05,1.9672737897e-06,6.0318493144e-06,60120.240480961926
76,-33780.183530953655,14759.891437856015,9454.13376564763,-10056.36034959989,-28443.51875619434,39872.73839769129,59221.373583,-20194.110902,-16180.692487,2.2295719947,1.708920931,-0.23348235019,-1.2800206203e-05,2.0239730564e-06,6.0325910083e-06,60921.84368737475
77,-32948.581601681835,12984.25173930954,8946.32220737134,-10672.125821324007,-30106.62244958635,38466.822170030224,60961.939076,-18808.716837,-16357.067752,2.1713554525,1.7282790958,-0.22002814356,-1.2431921541e-05,2.0935256736e-06,6.0380526843e-06,61723.44689378758
78,-31943.501253486902,11140.41598234062,8391.439793970992,-11266.027595698268,-31708.04751476591,36982.10000079665,62657.143999,-17409.95782,-16523.319051,2.114768142,1.744951874,-0.20739849533,-1.2086043898e-05,2.1738753391e-06,6.0477223032e-06,62525.0501002004
79,-30744.779455313066,9229.275057551891,7785.732897255617,-11836.848962316368,-33244.513155747816,35421.61359864487,64308.290945,-15999.811225,-16680.077188,2.0598058148,1.7591578768,-0.19555577633,-1.1761354825e-05,2.2632203288e-06,6.0611296738e-06,63326.653306613225
80,-29326.93970649892,7252.678270777781,7124.599656586459,-12383.420493811642,-34712.87165401905,33788.55989151789,65916.671527,-14580.09327,-16827.943506,2.0064547767,1.7710981492,-0.18446323112,-1.1456660385e-05,2.3599851007e-06,6.0778444452e-06,64128.256513026055
81,-27657.029854263244,5214.2157779277195,6402.32124589597,-12904.622445172663,-36110.114826830344,32086.284473070118,67483.560324,-13152.472139,-16967.490748,1.9546937742,1.7809573609,-0.17408518497,-1.1170801226e-05,2.4627944684e-06,6.0974738275e-06,64929.85971943888
82,-25691.18097839367,3120.694276867211,5611.6790688399005,-13399.387042737366,-37433.38017611409,30318.2747420239,69010.21009,-11718.480167,-17099.264047,1.9044955834,1.7889049852,-0.16438718984,-1.0902659725e-05,2.5704502839e-06,6.1196601664e-06,65731.46292585171
83,-23368.842956838685,985.0995967381772,4743.4090443898485,-13866.70067664443,-38679.95676677654,28488.152778119056,70497.848042,-10279.525101,-17223.78198,1.8558283441,1.7950964447,-0.15533612146,-1.0651164806e-05,2.6819105068e-06,6.1440784655e-06,66533.06613226453
84,-20602.499521930542,-1166.940313087042,3785.457206002257,-14305.605972117239,-39847.29076553682,26599.667897263338,71947.673031,-8836.9004851,-17341.537681,1.8086566743,1.7996742083,-0.14690023758,-1.0415294918e-05,2.7962705056e-06,6.1704339273e-06,67334.66933867735
85,-17257.87713577982,-3281.3905216439666,2722.19550770635,-14715.20375673898,-40932.99068960214,24656.68899102608,73360.85347,-7391.7952098,-17452.99997,1.7629425977,1.8027688309,-0.13904920578,-1.0194079579e-05,2.9127464198e-06,6.1984595589e-06,68136.27254509018
86,-13112.579067109682,-5230.826305139914,1535.1262841539733,-15094.654897412089,-41934.83229158086,22663.196585781854,74738.525865,-5945.3022786,-17558.614485,1.7186463124,1.8044999317,-0.13175410751,-9.9865998143e-06,3.0306604012e-06,6.2279138777e-06,68937.875751503
87,-7767.742288758661,-6653.273387015301,217.06472603319492,-15443.182022819654,-42850.76312562211,20623.274696448654,76081.79386,-4498.4268432,-17658.804805,1.6757268242,1.8049771056,-0.12498742398,-9.7919877587e-06,3.1494275569e-06,6.258578738e-06,69739.47895791584
88,-635.8971593002352,-6190.745577809596,-1081.9159226727504,-15760.07111485114,-43678.90674898131,18541.10245700574,77391.727701,-3052.0935595,-17753.973549,1.6341424659,1.8043007715,-0.11872300842,-9.6094256304e-06,3.2685444228e-06,6.2902572895e-06,70541.08216432866
89,5834.160995514747,-320.58777660889376,-1198.758308943732,-16044.672971211794,-44417.566565716836,16420.945557551073,78669.36403,-1607.1533152,-17844.503448,1.5938513206,1.8025629547,-0.11293604822,-9.4381442519e-06,3.3875788061e-06,6.3227720758e-06,71342.68537074148
90,6746.600619171238,7019.063597123199,53.067520835112916,-16296.404539910054,-45065.22931500289,14267.147516189987,79915.705965,-164.38937972,-17930.758374,1.5548115646,1.7998480095,-0.1076030199,-9.2774212522e-06,3.5061608456e-06,6.3559632726e-06,72144.28857715431
91,5440.576136316428,12547.116267190226,1384.1383856822779,-16514.75009884728,-45620.568129714775,12084.120747629388,81131.723393,1275.476978,-18013.084337,1.5169817413,1.7962332813,-0.10270163919,-9.1265790558e-06,3.6239751552e-06,6.3896870625e-06,72945.89178356713
92,3527.026282676509,16810.039960201844,2587.128021515135,-16699.26232593353,-46082.445292611505,9876.337552139408,82318.353437,2711.7813587,-18091.810436,1.4803209802,1.7917897149,-0.098210808092,-8.9849827427e-06,3.7407539228e-06,6.4238141434e-06,73747.49498997997
93,1423.289833562087,20236.301237562155,3664.203783417313,-16849.563224535726,-46449.91459237006,7648.320973356146,83476.501066,4143.9115471,-18167.249762,1.444789167,1.7865824101,-0.094110560203,-8.8520378423e-06,3.8562708558e-06,6.4582283622e-06,74549.09819639279
